"","Nombre","Edad","Altura","Peso","Nacionalidad","Equipo","Posición","Partidos","Minutos por partido","Goles","Asistencias","Targetas","Puntos","Puntos local","Puntos visitante","Media total","Media local","Media visitante","Valor de Comunio","Valor de mercado"
"344","Jota","22","1.75","60","Portugal","valladolid","centrocampistas","12",39,"1","0","1","44","20",24,"3.7","3.3","4.0","540 000","4"
"345","Jon Ander Garrido","31","1.85","81","España","cadiz","centrocampistas","17",34,"0","0","1","44","24",20,"2.8","3.4","2.2","510 000","565K €"
"349","Sergio Escudero","31","1.76","65","España","sevilla","defensas","7",62,"1","0","2","43","33",10,"6.1","6.6","5.0","1 530 000","3"
"350","Aleix Vidal","31","1.78","70","España","sevilla","centrocampistas","11",45,"0","1","1","43","22",21,"4.3","4.4","4.2","1 360 000","2"
"351","Kodro","27","1.87","77","Bosnia","valladolid","delanteros","13",27,"1","0","2","43","29",14,"3.3","3.6","2.8","990 000","970K €"
"352","Sobrino","29","1.85","73","España","cadiz","delanteros","13",50,"0","0","1","42","20",22,"3.5","3.3","3.7","2 170 000","1"
"354","Rubén Blanco","25","1.88","70","España","celta","porteros","19",88,"0","0","1","42","22",20,"2.2","2.4","2.0","650 000","7"
"356","Unai García","28","1.82","81","España","osasuna","defensas","13",71,"0","0","3","42","22",20,"3.2","3.7","2.9","430 000","1"
"357","Javi Sánchez","24","1.89","71","España","valladolid","defensas","13",54,"0","0","2","42","20",22,"3.8","3.3","4.4","370 000","3"
"358","Adrián López","33","1.80","71","España","osasuna","delanteros","15",27,"1","1","0","42","23",19,"3.0","2.6","3.8","340 000","1"
"359","Guridi","26","1.79","64","España","real-sociedad","centrocampistas","12",47,"0","1","2","41","25",16,"3.4","4.2","2.7","720 000","2"
"361","Johan Mojica","28","1.85","73","Colombia","elche","defensas","13",75,"0","0","2","40","14",26,"3.1","3.5","2.9","1 880 000","2"
"362","Umtiti","27","1.82","75","Francia","barcelona","defensas","10",49,"0","0","1","40","16",24,"4.4","5.3","4.0","980 000","10"
"363","Jesús Vallejo","24","1.84","74","España","granada","defensas","19",65,"0","0","3","40","18",22,"2.4","2.3","2.4","560 000","5"
"364","Róber Correa","26","1.71","67","Argentina","atletico","defensas","30",61,"4","7","3","133","78",55,"4.4","5.2","3.7","4 460 000","44"
"365","Pombo","26","1.80","80","España","cadiz","centrocampistas","9",48,"1","0","1","40","16",24,"4.4","4.0","4.8","420 000","1"
"366","Quini","31","1.78","70","España","granada","defensas","12",50,"1","0","2","39","10",29,"3.5","2.5","4.1","540 000","440K €"
"367","Rodrigo Ely","27","1.88","83","Brasil","alaves","defensas","8",59,"1","0","1","39","21",18,"4.9","7.0","3.6","310 000","2"
"369","Saidy Janko","25","1.78","70","Suiza","valladolid","defensas","13",60,"0","0","2","38","18",20,"2.9","2.6","3.3","940 000","2"
"370","Jota Peleteiro","29","1.80","67","España","alaves","centrocampistas","17",62,"0","1","5","38","17",21,"2.5","2.4","2.6","710 000","2"
"371","Brasanac","29","1.78","73","Serbia","osasuna","centrocampistas","10",51,"1","0","1","38","16",22,"3.8","3.2","4.4","620 000","2"
"374","Coke","33","1.77","74","España","levante","defensas","12",50,"0","0","1","38","12",26,"3.2","3.0","3.3","460 000","740K €"
"375","Papu Gómez","33","1.65","68","Argentina","sevilla","centrocampistas","9",46,"1","0","0","36","24",12,"4.5","4.8","4.0","5 640 000","16"
"377","Lekue","27","1.80","73","España","athletic","defensas","14",28,"0","0","1","36","20",16,"2.8","3.3","2.3","590 000","1"
"378","Yan Eteki","23","1.87","65","Camerún","granada","centrocampistas","20",50,"0","0","1","36","20",16,"1.9","2.5","1.5","560 000","2"
"379","Sidnei","31","1.86","88","Brasil","betis","defensas","11",63,"0","0","1","36","16",20,"3.6","3.2","4.0","480 000","4"
"380","Carlos Fernández","24","1.86","82","España","real-sociedad","delanteros","13",28,"0","1","3","35","23",12,"2.9","3.8","2.0","1 780 000","10"
"381","Mariano Díaz","27","1.80","79","República","real-madrid","delanteros","12",33,"1","0","0","35","14",21,"3.2","2.3","4.2","930 000","10"
"382","Aleix García","23","1.73","61","España","eibar","centrocampistas","9",40,"0","1","1","35","17",18,"3.9","4.3","3.6","800 000","2"
"383","Roberto Jiménez","35","1.92","93","España","valladolid","porteros","10",90,"0","0","0","35","10",25,"3.5","2.0","5.0","560 000","660K €"
"384","Aarón Martín","23","1.80","72","España","celta","defensas","10",89,"0","0","1","34","16",18,"3.4","4.0","3.0","1 640 000","3"
"385","Rekik","26","1.85","79","Países","sevilla","defensas","10",56,"0","0","2","34","18",16,"3.4","3.6","3.2","1 120 000","3"
"386","Víctor Rodríguez","31","1.70","66","España","elche","centrocampistas","12",28,"0","0","1","34","18",16,"2.8","3.0","2.7","510 000","880K €"
"387","Fede Vico","26","1.80","70","España","granada","centrocampistas","14",35,"0","0","1","34","16",18,"2.4","2.3","2.6","510 000","1"
"388","Pere Pons","28","1.77","72","España","alaves","centrocampistas","14",52,"0","0","1","34","14",20,"2.4","2.3","2.5","380 000","3"
"389","Francisco Portillo","30","1.69","63","España","getafe","centrocampistas","16",26,"0","1","1","33","20",13,"2.4","2.5","2.2","420 000","1"
"390","Raúl García Carnero","31","1.75","72","España","valladolid","defensas","8",63,"1","0","2","33","6",27,"4.1","2.0","5.4","390 000","825K €"
"391","Domingos Quina","21","1.73","65","Portugal","granada","centrocampistas","6",52,"2","0","0","32","16",16,"5.3","5.3","5.3","2 970 000","3"
"392","Víctor Díaz","32","1.83","72","España","granada","defensas","11",47,"0","2","3","32","16",16,"3.2","4.0","2.7","1 150 000","1"
"393","Vrsaljko","29","1.83","76","Croacia","atletico","defensas","9",58,"0","0","2","32","10",22,"3.6","5.0","3.1","1 050 000","8"
"394","Emre Mor","23","1.69","64","Turquía","celta","centrocampistas","11",46,"0","0","2","32","14",18,"3.2","2.8","3.6","400 000","950K €"
"395","Recio","30","1.83","79","España","eibar","centrocampistas","11",34,"0","0","3","32","12",20,"3.2","3.0","3.3","400 000","2"
"396","Jaume Costa","33","1.71","62","España","villarreal","defensas","13",26,"0","1","1","31","10",21,"2.8","2.0","3.5","440 000","2"
